"Deck","Topic","Front","Back","Type","Tags","Caveat"
"IA Practitioner","Amazon Bedrock","¿Qué es Amazon Bedrock?","Servicio totalmente administrado que ofrece modelos fundacionales de alto rendimiento para construir aplicaciones de IA generativa en AWS.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué permite hacer Bedrock sin entrenar modelos propios?","Empezar a construir aplicaciones de IA generativa usando modelos fundacionales disponibles.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué se debe hacer antes de usar un modelo base en Bedrock?","Solicitar permiso para el modelo base.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué modelos tienen aprobación inmediata según la fuente?","Modelos Amazon Titan.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic","Según la fuente del curso."
"IA Practitioner","Amazon Bedrock","¿Qué puede pasar con modelos de terceros en Bedrock?","Pueden requerir información adicional y se cobran según tarifas del tercero a través de AWS.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","Bedrock = {{c1::GenAI administrada con FM}}.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze",""
"IA Practitioner","Amazon Bedrock","¿Qué es fine-tuning en Bedrock?","Ajustar un modelo preentrenado para una tarea específica usando datos adicionales.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Por qué fine-tuning evita entrenar desde cero?","Porque adapta un modelo preentrenado con menos datos y recursos que reentrenar un FM completo.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","El formato fuente para fine-tuning usa pares {{c1::prompt}} / {{c2::completion}}.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze",""
"IA Practitioner","Amazon Bedrock","¿Qué es continuous pre-training?","Mejorar modelos preentrenados con datos sin etiquetar para adaptarlos a dominios como finanzas, medicina o derecho.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","Continuous pre-training usa entradas {{c1::input}} de texto.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze","Según el formato de la fuente."
"IA Practitioner","Amazon Bedrock","¿Qué hace RAG en Bedrock?","Recupera datos empresariales y enriquece el prompt para respuestas más relevantes y precisas.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","RAG = {{c1::contexto externo sin cambiar el FM}}.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze",""
